% Residuo (10),Delta,Error,Viscosidad seg./cf (26),Delta,Error,Densidad  gr/cc (1.67),Error,DEFL LIQUIDO (39),Delta,Error,DEFL SOLIDO (36),Delta,Error,Caudal de M.P. [kg] (19500),Delta,Delta Referencia,Caudal Agua [Lt] (9994),Delta,Delta Referencia
8.56,-1.44,1.44,14.89,-11.11,11.11,1.56,0.11,39,0,0,36,0,0,19700,200,-200,9994,0,0
7.86,-0.7,2.14,14.58,-0.31,11.42,1.56,0.11,39,0,0,36,0,0,19500,-200,0,7780,-2214,2214
9.65,1.79,0.35,12.72,-1.86,13.28,1.65,0.02,39,0,0,36,0,0,19500,0,0,9001,1221,993
10.31,0.66,-0.31,14.48,1.76,11.52,1.71,-0.04,39,0,0,36,0,0,14550,-4950,4950,9994,993,0
11.46,1.15,-1.46,12.86,-1.62,13.14,1.7,-0.03,39,0,0,36,0,0,19300,4750,200,9994,0,0
7.42,-4.04,2.58,14.12,1.26,11.88,1.61,0.06,39,0,0,36,0,0,19650,350,-150,9994,0,0
12.06,4.64,-2.06,13.46,-0.66,12.54,1.54,0.13,39,0,0,36,0,0,19500,-150,0,9994,0,0
12.98,0.92,-2.98,13.9,0.44,12.1,1.65,0.02,39,0,0,36,0,0,19400,-100,100,9994,0,0
12.07,-0.91,-2.07,14.56,0.66,11.44,1.7,-0.03,39,0,0,36,0,0,19450,50,50,9994,0,0
12.91,0.84,-2.91,14.49,-0.07,11.51,1.74,-0.07,39,0,0,36,0,0,19400,-50,100,9994,0,0
12,-0.91,-2,14.51,0.02,11.49,1.57,0.1,39,0,0,36,0,0,19300,-100,200,9994,0,0
8.89,-3.11,1.11,12.33,-2.18,13.67,1.57,0.1,39,0,0,36,0,0,19600,300,-100,9994,0,0
8.8,-0.09,1.2,46.43,34.1,-20.43,1.64,0.03,41,2,2,36,0,0,19700,100,-200,9994,0,0
9.25,0.45,0.75,27.75,-18.68,-1.75,1.72,-0.05,39,-2,0,36,0,0,19550,-150,-50,9994,0,0
8.9,-0.35,1.1,18.81,-8.94,7.19,1.74,-0.07,39,0,0,36,0,0,19600,50,-100,9994,0,0
10.6,1.7,-0.6,49.05,30.24,-23.05,1.56,0.11,41,2,2,36,0,0,19500,-100,0,9990,-4,4
12.83,2.23,-2.83,23.33,-25.72,2.67,1.62,0.05,39,-2,0,36,0,0,19250,-250,250,9994,4,0
12.95,0.12,-2.95,45.92,22.59,-19.92,1.63,0.04,41,2,2,36,0,0,19200,-50,300,9994,0,0
12.29,-0.66,-2.29,35.14,-10.78,-9.14,1.72,-0.05,39,-2,0,36,0,0,19255,55,245,9994,0,0
12.73,0.44,-2.73,18.27,-16.87,7.73,1.71,-0.04,39,0,0,36,0,0,19250,-5,250,9994,0,0
6.77,-5.96,3.23,34.24,15.97,-8.24,1.54,0.13,39,0,0,36,0,0,19700,450,-200,9994,0,0
6.23,-0.54,3.77,27.58,-6.66,-1.58,1.56,0.11,39,0,0,36,0,0,19750,50,-250,9994,0,0
11.44,5.21,-1.44,40.64,13.06,-14.64,1.66,0.01,39,0,0,36,0,0,19350,-400,150,9994,0,0
11.39,-0.05,-1.39,43.49,2.85,-17.49,1.71,-0.04,39,0,0,36,0,0,19300,-50,200,9994,0,0
10.29,-1.1,-0.29,44.53,1.04,-18.53,1.73,-0.06,39,0,0,36,0,0,19450,150,50,9994,0,0
7.81,-2.48,2.19,24.27,-20.26,1.73,1.61,0.06,39,0,0,36,0,0,19600,150,-100,9994,0,0
12.57,4.76,-2.57,19.22,-5.05,6.78,1.58,0.09,39,0,0,36,0,0,19450,-150,50,9994,0,0
12.51,-0.06,-2.51,35.61,16.39,-9.61,1.62,0.05,39,0,0,36,0,0,19400,-50,100,9994,0,0
12.04,-0.47,-2.04,36.6,0.99,-10.6,1.71,-0.04,39,0,0,36,0,0,19450,50,50,9994,0,0
12.53,0.49,-2.53,44.9,8.3,-18.9,1.71,-0.04,41,2,2,36,0,0,19400,-50,100,9994,0,0
