Fecha,Turno,DEFL LIQUIDO,DEFL SOLIDO,Caudal de M.P.  (kg),Caudal Agua (Lt),% Residuo,Viscosidad seg./cf,Densidad  gr/cc,Humedad (%),Presión Atm (Hg),Temperatura (ºC),Temperatura (ºF)
1-Apr-21,TA,57,34,18000,10100,10.5,26.0,1.657,74.3,29,17.22222222,63
1-Apr-21,TB,57,34,18000,10500,10.5,22.0,1.653,74.3,29,17.22222222,63
1-Apr-21,TC,57,34,18000,10800,10,24.0,1.654,74.3,29,17.22222222,63
2-Apr-21,TA,57,34,18000,10200,10,22.0,1.649,70.9,28.9,17.77777778,64
2-Apr-21,TB,57,34,18000,10700,10,21.0,1.651,70.9,28.9,17.77777778,64
2-Apr-21,TC,57,34,18000,10900,10,19.0,1.644,70.9,28.9,17.77777778,64
3-Apr-21,TA,57,34,18000,9900,10,17.0,1.622,85.8,28.8,18.88888889,66
3-Apr-21,TB,57,34,18000,11400,10.5,20.0,1.647,85.8,28.8,18.88888889,66
3-Apr-21,TC,57,34,18000,11400,9.5,20.0,1.651,85.8,28.8,18.88888889,66
4-Apr-21,TA,57,34,18000,9900,9.5,20.0,1.651,72.7,28.8,23.88888889,75
4-Apr-21,TB,57,34,18000,9900,9.5,20.0,1.651,72.7,28.8,23.88888889,75
4-Apr-21,TC,57,34,18000,9900,9.5,20.0,1.651,72.7,28.8,23.88888889,75
5-Apr-21,TA,57,34,18000,10000,10,20.0,1.646,62,28.6,30,86
5-Apr-21,TB,57,34,18000,11400,10.5,22.0,1.657,62,28.6,30,86
5-Apr-21,TC,57,34,18000,11500,10.5,24.0,1.664,62,28.6,30,86
6-Apr-21,TA,57,34,18000,11700,10.5,20.0,1.646,59.4,28.5,33.88888889,93
6-Apr-21,TB,57,34,18000,11000,10,18.0,1.639,59.4,28.5,33.88888889,93
6-Apr-21,TC,57,34,18000,10200,10,17.0,1.632,59.4,28.5,33.88888889,93
7-Apr-21,TA,57,34,18000,10500,10,20.0,1.644,46.8,28.4,37.77777778,100
7-Apr-21,TB,57,34,18000,10500,10,20.0,1.644,46.8,28.4,37.77777778,100
7-Apr-21,TC,57,34,18000,9800,10,20.0,1.643,46.8,28.4,37.77777778,100
8-Apr-21,TA,57,34,18000,10600,10.5,20.0,1.640,47.8,28.4,36.11111111,97
8-Apr-21,TB,57,34,18000,10000,10,19.0,1.645,47.8,28.4,36.11111111,97
8-Apr-21,TC,57,34,18000,10200,9.5,17.0,1.626,47.8,28.4,36.11111111,97
9-Apr-21,TA,57,34,18000,10650,10,19.0,1.645,38.3,28.3,42.22222222,108
9-Apr-21,TB,57,34,18000,10850,10,19.0,1.646,38.3,28.3,42.22222222,108
9-Apr-21,TC,58,34,18000,10850,10,18.0,1.643,38.3,28.3,42.22222222,108
10-Apr-21,TA,58,34,18000,10700,10,19.0,1.635,24,28.4,36.11111111,97
10-Apr-21,TB,58,34,18000,10700,10,19.0,1.646,24,28.4,36.11111111,97
10-Apr-21,TC,58,34,18000,10700,10,19.0,1.646,24,28.4,36.11111111,97
11-Apr-21,TA,58,34,18000,10700,10,19.0,1.646,64.7,28.4,31.11111111,88
11-Apr-21,TB,58,34,18000,9900,10,19.0,1.646,64.7,28.4,31.11111111,88
11-Apr-21,TC,58,34,18000,10700,10,19.0,1.646,64.7,28.4,31.11111111,88
12-Apr-21,TA,58,34,18000,9700,9.5,19.0,1.630,70.5,28.4,31.11111111,88
12-Apr-21,TB,58,34,18000,10100,10,16.0,1.652,70.5,28.4,31.11111111,88
12-Apr-21,TC,58,35,18000,10300,10,21.0,1.648,70.5,28.4,31.11111111,88
13-Apr-21,TA,58,35,18000,10350,10,22.0,1.645,72.1,28.5,30,86
13-Apr-21,TB,58,35,18000,10500,10,23.0,1.656,72.1,28.5,30,86
13-Apr-21,TC,58,35,18000,10700,10,24.0,1.635,72.1,28.5,30,86
14-Apr-21,TA,58,35,18000,10400,10,23.0,1.656,67.2,28.5,32.77777778,91
14-Apr-21,TB,58,35,18000,10200,10,23.0,1.651,67.2,28.5,32.77777778,91
14-Apr-21,TC,58,35,18000,9900,10,21.0,1.643,67.2,28.5,32.77777778,91
15-Apr-21,TA,58,35,18000,9900,10,19.0,1.651,76,28.5,30,86
15-Apr-21,TB,58,35,18000,10100,10,25.0,1.657,76,28.5,30,86
15-Apr-21,TC,58,35,18000,10100,10,25.0,1.640,76,28.5,30,86
16-Apr-21,TA,58,35,18000,10100,10,23.0,1.654,64.2,28.4,37.77777778,100
16-Apr-21,TB,58,35,18000,10100,10,26.0,1.659,64.2,28.4,37.77777778,100
16-Apr-21,TC,58,35,18000,10150,10,26.0,1.650,64.2,28.4,37.77777778,100
17-Apr-21,TA,58,35,18000,10150,10,22.0,1.658,79.5,28.6,28.88888889,84
17-Apr-21,TB,58,35,18000,10100,10,23.0,1.654,79.5,28.6,28.88888889,84
17-Apr-21,TC,58,35,18000,10000,10,23.0,1.651,79.5,28.6,28.88888889,84
18-Apr-21,TA,58,35,18000,10000,10,23.0,1.651,62.5,28.7,20,68
18-Apr-21,TB,58,35,18000,10000,10,23.0,1.650,62.5,28.7,20,68
18-Apr-21,TC,58,35,18000,10000,10,22.0,1.650,62.5,28.7,20,68
19-Apr-21,TA,58,35,18000,10100,10,22.0,1.634,52,28.7,22.77777778,73
19-Apr-21,TB,58,35,18000,10600,10,18.0,1.640,52,28.7,22.77777778,73
19-Apr-21,TC,58,35,18000,10600,10,20.0,1.646,52,28.7,22.77777778,73
20-Apr-21,TA,58,35,18000,10600,10,22.0,1.653,61.2,28.6,28.88888889,84
20-Apr-21,TB,58,35,18000,10600,9.5,23.0,1.663,61.2,28.6,28.88888889,84
20-Apr-21,TC,58,35,18000,10600,9.5,22.0,1.659,61.2,28.6,28.88888889,84
21-Apr-21,TA,58,35,18000,10000,10,22.0,1.657,69.1,28.7,23.88888889,75
21-Apr-21,TB,58,35,18000,10300,10,22.0,1.648,69.1,28.7,23.88888889,75
21-Apr-21,TC,58,35,18000,10300,10,20.0,1.653,69.1,28.7,23.88888889,75
22-Apr-21,TA,58,35,18000,10900,10,21.0,1.661,82.8,28.6,25,77
22-Apr-21,TB,58,35,18000,10900,10,26.0,1.668,82.8,28.6,25,77
22-Apr-21,TC,58,35,18000,10000,10,23.0,1.656,82.8,28.6,25,77
23-Apr-21,TA,58,35,18000,10400,11,22.0,1.682,63.3,28.4,33.88888889,93
23-Apr-21,TB,58,35,18000,10550,10,24.0,1.683,63.3,28.4,33.88888889,93
23-Apr-21,TC,58,35,18000,10400,11,23.0,1.690,63.3,28.4,33.88888889,93
